298 , 68 
277 , 59 
22 , 50 
303 , 172 
25 , 13 
18 , 91 
298 , 175 
102 , 76 
39 , 151 
30 , 192 
52 , 161 
91 , 38 
297 , 178 
107 , 37 
296 , 186 
20 , 76 
70 , 19 
70 , 19 
20 , 96 
247 , 15 
33 , 10 
143 , 112 
293 , 215 
49 , 129 
280 , 28 
291 , 212 
21 , 90 
20 , 94 
143 , 123 
48 , 7 
21 , 87 
292 , 213 
38 , 196 
299 , 173 
32 , 11 
105 , 72 
106 , 50 
84 , 211 
40 , 176 
31 , 204 
27 , 123 
43 , 8 
72 , 90 
91 , 216 
288 , 70 
294 , 69 
96 , 221 
253 , 23 
71 , 222 
46 , 176 
295 , 181 
99 , 229 
142 , 110 
73 , 85 
287 , 52 
137 , 76 
43 , 15 
130 , 30 
295 , 177 
292 , 193 
293 , 192 
73 , 87 
53 , 7 
279 , 64 
32 , 207 
38 , 180 
254 , 23 
38 , 10 
34 , 207 
31 , 180 
48 , 216 
95 , 57 
106 , 65 
250 , 20 
51 , 206 
57 , 206 
32 , 198 
37 , 192 
141 , 106 
73 , 41 
56 , 7 
141 , 145 
118 , 178 
127 , 15 
78 , 209 
69 , 155 
141 , 127 
82 , 229 
35 , 199 
273 , 35 
46 , 215 
280 , 30 
36 , 189 
28 , 128 
28 , 128 
129 , 27 
34 , 191 
139 , 158 
45 , 208 
116 , 178 
283 , 69 
285 , 48 
140 , 105 
67 , 134 
48 , 14 
282 , 33 
36 , 179 
135 , 69 
43 , 209 
59 , 16 
103 , 145 
73 , 105 
35 , 125 
126 , 9 
285 , 56 
105 , 132 
89 , 12 
42 , 212 
35 , 174 
284 , 51 
61 , 161 
102 , 147 
282 , 68 
257 , 26 
285 , 62 
70 , 207 
49 , 152 
285 , 64 
78 , 225 
44 , 174 
87 , 25 
250 , 17 
74 , 155 
96 , 177 
260 , 34 
132 , 57 
108 , 43 
126 , 14 
99 , 64 
121 , 177 
140 , 138 
46 , 210 
92 , 177 
130 , 42 
86 , 237 
109 , 34 
257 , 8 
89 , 2 
97 , 97 
42 , 125 
266 , 27 
261 , 34 
74 , 44 
97 , 226 
86 , 233 
83 , 213 
107 , 144 
78 , 157 
136 , 87 
106 , 83 
108 , 55 
47 , 141 
106 , 102 
62 , 216 
67 , 218 
58 , 11 
74 , 158 
39 , 138 
39 , 137 
59 , 175 
59 , 11 
80 , 157 
270 , 32 
39 , 127 
105 , 152 
67 , 160 
60 , 11 
78 , 176 
82 , 213 
139 , 131 
43 , 149 
91 , 55 
74 , 28 
83 , 176 
88 , 9 
109 , 41 
55 , 213 
88 , 37 
91 , 56 
45 , 142 
69 , 9 
46 , 135 
40 , 140 
70 , 9 
131 , 58 
138 , 119 
81 , 213 
56 , 151 
137 , 98 
261 , 22 
75 , 87 
65 , 209 
57 , 174 
258 , 17 
262 , 25 
137 , 155 
79 , 71 
74 , 220 
63 , 215 
129 , 44 
103 , 128 
85 , 25 
91 , 176 
77 , 8 
109 , 57 
54 , 150 
54 , 150 
70 , 210 
79 , 213 
48 , 168 
108 , 141 
77 , 17 
75 , 49 
109 , 48 
80 , 3 
84 , 157 
98 , 70 
73 , 12 
84 , 21 
107 , 109 
137 , 147 
92 , 223 
136 , 158 
75 , 112 
64 , 162 
109 , 51 
81 , 10 
85 , 157 
123 , 8 
112 , 23 
78 , 13 
78 , 221 
96 , 109 
130 , 172 
76 , 29 
83 , 9 
82 , 224 
81 , 223 
76 , 85 
79 , 16 
83 , 12 
123 , 175 
136 , 104 
47 , 146 
82 , 18 
97 , 82 
91 , 235 
76 , 59 
79 , 159 
77 , 30 
109 , 67 
99 , 175 
75 , 96 
136 , 113 
82 , 22 
136 , 118 
136 , 122 
136 , 148 
81 , 221 
109 , 69 
101 , 175 
136 , 146 
89 , 157 
109 , 140 
112 , 30 
63 , 173 
113 , 14 
90 , 228 
131 , 170 
85 , 222 
100 , 139 
82 , 219 
109 , 71 
135 , 99 
78 , 32 
51 , 145 
66 , 163 
59 , 166 
76 , 111 
78 , 37 
80 , 75 
81 , 70 
123 , 21 
94 , 104 
80 , 77 
64 , 150 
82 , 32 
77 , 59 
79 , 160 
112 , 36 
135 , 128 
110 , 149 
87 , 48 
96 , 157 
116 , 7 
54 , 145 
93 , 91 
109 , 97 
76 , 96 
110 , 146 
87 , 51 
70 , 138 
93 , 97 
116 , 12 
95 , 77 
67 , 171 
134 , 155 
93 , 100 
111 , 60 
88 , 58 
63 , 170 
95 , 112 
126 , 43 
115 , 22 
100 , 127 
110 , 132 
95 , 80 
62 , 148 
110 , 130 
84 , 160 
122 , 25 
79 , 47 
82 , 128 
134 , 118 
89 , 173 
110 , 91 
109 , 173 
95 , 74 
89 , 60 
130 , 73 
124 , 35 
69 , 149 
111 , 70 
80 , 55 
78 , 107 
80 , 61 
84 , 52 
82 , 78 
64 , 146 
94 , 75 
110 , 112 
83 , 72 
124 , 40 
78 , 150 
78 , 163 
82 , 54 
119 , 27 
92 , 87 
131 , 161 
93 , 77 
78 , 97 
77 , 139 
106 , 157 
106 , 157 
81 , 150 
74 , 140 
91 , 105 
111 , 81 
111 , 101 
86 , 62 
90 , 92 
81 , 139 
80 , 115 
79 , 103 
80 , 116 
111 , 88 
84 , 124 
90 , 99 
92 , 170 
128 , 168 
79 , 140 
97 , 119 
84 , 137 
84 , 137 
132 , 145 
114 , 59 
81 , 118 
80 , 108 
94 , 145 
80 , 93 
83 , 148 
89 , 68 
131 , 152 
113 , 143 
93 , 162 
84 , 140 
105 , 159 
114 , 64 
106 , 159 
90 , 163 
128 , 81 
77 , 144 
112 , 108 
108 , 159 
96 , 120 
89 , 164 
96 , 128 
96 , 127 
92 , 168 
97 , 169 
124 , 61 
122 , 52 
99 , 162 
120 , 48 
113 , 81 
87 , 97 
128 , 90 
92 , 165 
130 , 108 
113 , 124 
121 , 52 
87 , 102 
129 , 159 
83 , 96 
119 , 51 
83 , 99 
83 , 116 
91 , 116 
129 , 98 
118 , 55 
120 , 54 
92 , 143 
102 , 168 
113 , 115 
87 , 143 
87 , 135 
100 , 167 
100 , 167 
118 , 58 
130 , 132 
93 , 135 
129 , 152 
105 , 162 
123 , 63 
114 , 96 
114 , 84 
93 , 120 
93 , 120 
129 , 123 
129 , 149 
127 , 96 
89 , 129 
114 , 104 
116 , 155 
109 , 162 
92 , 131 
90 , 132 
91 , 130 
128 , 100 
115 , 160 
122 , 65 
126 , 162 
121 , 64 
116 , 149 
108 , 164 
128 , 106 
123 , 167 
123 , 72 
125 , 87 
128 , 144 
127 , 101 
115 , 118 
125 , 92 
118 , 164 
122 , 77 
127 , 119 
119 , 159 
118 , 151 
127 , 141 
116 , 110 
121 , 160 
117 , 128 
118 , 89 
117 , 98 
118 , 88 
119 , 150 
124 , 156 
125 , 104 
122 , 153 
125 , 110 
124 , 147 
124 , 102 
123 , 149 
120 , 143 
118 , 113 
125 , 133 
124 , 140 
120 , 105 
122 , 137 
121 , 122 
